cluster,label,size,top_terms,example
0,"confirmed, york",114,"confirmed, york, museum, brooklyn, avenue, disney",The Metropolitan Museum of Art  Museum of the City of New York  Solomon R. Gugge
1,"blue, red",27,"blue, red, green, white, yellow, orange",White  Blue  Orange  Gray
2,"plaque, century",87,"plaque, century, exhibit, sign, turn, image","They were carved from local timber by the Cagle family, who operated the origina"
3,"concrete, path",100,"concrete, path, fence, area, wooden, wall",A stone wall on the right side of the paved area near the parking lot.  A brown 
4,"used, bowl",79,"used, bowl, onion, stove, placed, plastic",Limes  Cucumbers  Carrots  Oranges
5,"box, red",91,"box, red, white, christmas, black, used",Fireside Glow; pumpkin-shaped.  Cashmere Vanilla; pumpkin-shaped.  Cashmere Vani
6,"pants, jacket",45,"pants, jacket, shirt, black, woman, pattern",A smartphone  A blue umbrella  A gray cup  A red shirt
7,"years, miles",22,"years, miles, million, section, energy, focus","1250, $19.99  1288, $79.97  1288, $49.95  1645, $49.95"
8,"floor, bag",70,"floor, bag, placed, sink, table, kitchen",I opened the refrigerator to get milk for the iced tea I was preparing with the 
9,"road, bike",65,"road, bike, sign, mph, truck, second",Pedestrian Crossing; 25  Jesse Bolling Hall; 30  Jesse Bolling Hall; 25  Stop Si
