Category,N,correct = C (%),correct = shortest (%)
Daily Activities,127,65.35433070866141,48.031496062992126
Sightseeing,103,63.10679611650486,41.74757281553398
Travel-Tourism,93,68.81720430107528,30.107526881720432
Shopping,72,56.94444444444444,30.555555555555557
Travel-Sightseeing (Outdoors),59,61.016949152542374,45.76271186440678
Travel-Sightseeing (Indoors),53,66.0377358490566,33.9622641509434
Hiking-Outdoors,37,64.86486486486487,29.72972972972973
Hobbies-Daily Activities,35,62.857142857142854,37.142857142857146
Gardening,32,62.5,43.75
"Pets, social gatherings with friends and family",25,60.0,40.0
Outdoor Activities and Sports,23,56.52173913043478,47.82608695652174
Events,22,59.09090909090909,63.63636363636363
Fashion Advice,19,68.42105263157895,52.63157894736842
