video,duration_s,fps,n_frames,size_MB
0391ffc9c8c38c67.mp4,601.733333,15.0,9026,79.822945
02216818d2099c04.mp4,610.066667,15.0,9151,619.044432
016c4ad8fda54a97.mp4,614.6,15.0,9219,441.344
00cdb8ca10c069f8.mp4,604.533333,15.0,9068,636.509667
069e0b5942b685da.mp4,600.133333,15.0,9002,489.537785
0207cc5be310f3ba.mp4,600.133333,15.0,9002,200.804354
032392866755963e.mp4,600.133333,15.0,9002,390.194023
059a88dee3d0bddc.mp4,600.333333,15.0,9005,204.23436
06615b19ef5373ca.mp4,606.066667,15.0,9091,460.569896
03481185b7c75ab9.mp4,600.133333,15.0,9002,291.292639
03a44264a5df1c9e.mp4,602.733333,15.0,9041,183.157303
02597f9f4c0ec8cc.mp4,603.2,15.0,9048,362.981005
017ffe52c5b5230c.mp4,600.133333,15.0,9002,360.529417
02fb50a660ff1072.mp4,618.666667,15.0,9280,623.407599
03fb89df97cc9908.mp4,600.066667,15.0,9001,229.183888
07f54b96296acdff.mp4,611.8,15.0,9177,829.692096
08a129d4d3455f91.mp4,600.333333,15.0,9005,190.772061
056734786b556b0f.mp4,643.933333,15.0,9659,331.897433
09ea3872eb883ec1.mp4,611.266667,15.0,9169,434.951248
0789bad7468e72b3.mp4,695.533333,15.0,10433,390.34006
0c2a202bcee2ec87.mp4,607.6,15.0,9114,396.600692
07092e5a5ee9579c.mp4,600.266667,15.0,9004,143.061812
0a7538816b38423d.mp4,600.133333,15.0,9002,182.745474
0b941d85cf228741.mp4,600.133333,15.0,9002,293.551874
0de357266f10df86.mp4,607.266667,15.0,9109,249.807207
0f1e1d0da216585c.mp4,600.066667,15.0,9001,186.353027
09293dae75c227b2.mp4,600.333333,15.0,9005,146.301611
0b38cc26c3cf4364.mp4,602.466667,15.0,9037,226.994595
0cf8454cd2d6f863.mp4,601.8,15.0,9027,186.127276
0fe0ca9e8cfad75f.mp4,605.866667,15.0,9088,467.456643
10551b47266ed669.mp4,600.133333,15.0,9002,424.8713
11b5a30e313af367.mp4,600.133333,15.0,9002,195.538496
0f5a78b48827083d.mp4,608.133333,15.0,9122,494.300399
08910129d9d6ff34.mp4,600.133333,15.0,9002,211.972736
11169ccb03d4be05.mp4,600.2,15.0,9003,454.518542
0efc268990f5588b.mp4,619.733333,15.0,9296,331.382277
0df064a955d50897.mp4,623.666667,15.0,9355,732.002018
130b87bbc7e7f759.mp4,608.466667,15.0,9127,222.266275
11dc8afb864c685a.mp4,614.933333,15.0,9224,328.145165
11ec20a79ad47910.mp4,601.466667,15.0,9022,679.559324
11c6e381488dcff7.mp4,600.266667,15.0,9004,166.259061
112df40f97bbcd42.mp4,619.133333,15.0,9287,243.630483
14566bef49541482.mp4,600.133333,15.0,9002,502.920253
156cc97ac25e1078.mp4,600.133333,15.0,9002,205.972636
12862b1069d474fb.mp4,600.066667,15.0,9001,580.118013
1143e4c2d086afa1.mp4,593.266667,15.0,8899,260.794761
14a8ff92adb183c7.mp4,601.466667,15.0,9022,321.686189
13604bf4b9661f8b.mp4,600.133333,15.0,9002,409.912941
15ac76d47c8753f9.mp4,604.333333,15.0,9065,582.191717
12a73e1b23a7826d.mp4,600.066667,15.0,9001,251.837676
13aea9ab404e96a6.mp4,620.733333,15.0,9311,137.42328
146b8053e4a93b9c.mp4,600.133333,15.0,9002,217.692304
17ffed5d482095b5.mp4,603.2,15.0,9048,472.43348
166ed6f9ba6e5dea.mp4,604.4,15.0,9066,590.661471
17628f735391242b.mp4,600.133333,15.0,9002,432.466559
17ddbc3d41cea677.mp4,600.266667,15.0,9004,165.068706
19176681c6d16bdb.mp4,600.133333,15.0,9002,154.404344
